"CRF datasets:	ner_xml_data1.xml	ner_xml_data2.xml	ner_xml_data5.xml	shopi_consolidated_data.xml											"																
CRF tests:																
Precision	c1/c2	0.01	0.1	0.5	1	3		train/all	Precision	Recall	F1		iter	Precision	Recall	F1
	0.01	0.94	1	1	1	0		0.1	1	0.53	0.69		5	0.95	0.95	0.95
	0.1	1	0.95	1	1	0		0.3	1	0.37	0.54		10	0.98	0.98	0.98
	0.5	0.95	0	0	1	1		0.5	1	0.68	0.81		20	1	1	1
	1	1	0.94	1	0	0		0.7	1	0.88	0.93		50	1	1	1
	3	0	0.94	1	0	0		0.9	0	0.67	0.8		100	1	1	1
													200	1	1	1
Recall	c1/c2	0.01	0.1	0.5	1	3							500	1	1	0.97
	0.01	0.65	0.87	0.72	0.68	0										
	0.1	0.66	0.68	0.63	0.56	0										
	0.5	0.73	0.59	0	0.58	0.43										
	1	0.03	0.59	0.62	0.21	0										
	3	0	0.61	0.43	0	0										
																
F1	c1/c2	0.01	0.1	0.5	1	3										
	0.01	0.77	0.93	0.84	0.81	0										
	0.1	0.79	0.79	0.78	0.72	0										
	0.5	0.83	0.74	0	0.73	0.61										
	1	0.06	0.72	0.77	0.34	0										
	3	0	0.74	0.6	0	0										
